,nzks14,thereisnoflour,trump,whānauora,socialimpact,lockdown,stayhomestaysafe,foodandfibre,girls,peopleandplace,deaths,coronavirus,covid19nz,mars2025,contamination,mybubble,wefeedtheworld,organisationalchange,waipareira,legends,wheatfree,covidusa,calledme,kiwiaerospace,mytechnology,leadership,racecartransporter,bacteria,hmmmm,news,covi,ksi,dairyfree,illustration,coronavirusnz,covid19,funny,characterdesign,oneunit,ppe,americafirst,free,technologies,changemanagement,cuttheclutter,afl,nutfree,racing,mentalhealthduringcovid19,lol,virus,rugby,flatteningthecurve,smallbusiness,firstkiwispaceman,lockdownnz,lutongbahay,copicmarkerau,whanauwhenuawhakapapa,diy,lockdownnewzealand,worldwide,ks,climatechange,themselves,mytechnologywork,allergyfriendly,level3,staystrong,nzpol,pauleagle,kiwiscare,day22,racecar,nocall,masks,leaderslead,usa,conversation,kiwisteve,ks1,lockdownextention,cases,kills,groups,fighting,hospital,mask,stayhome,indiafightscoronavirus,auspol,nrl,nzlockdown,workforce,earnthefern,hair,trustardern,nz,day21oflockdown,eggfree,optimusprime,covid19aus,newzealand,quarantinelife,alertlevel,kiwiscantech,tamatime,2million,jacindaardern,extendthelockdown,uglyink,orangechicken,waiatamai
nzks14,0.0,4.041340867578911,1.6186957187837152,13.2531563065339,11.595838392945288,53.94099932954263,0.8507830351277474,34.189416344942735,1.0038096675491324,34.189416344942735,0.8654121756209334,343.443932187056,512.7453162610224,1.0038096675491324,1.544370939736719,0.8507830351277474,34.189416344942735,13.2531563065339,11.595838392945288,15.926972706422823,3.2942136180679666,0.0,0.8654121756209334,44.35026196008865,32.11288786761739,8.689002324712417,1.2791769121820007,1.544370939736719,2.253163543923722,0.0,1.9011594957910243,60.476272369478586,3.2942136180679666,1.2446191214382452,13.346576488931333,112028.57650157774,1.6186957187837152,1.2446191214382452,2.253163543923722,1.2446191214382452,9.917570328582967,1.2791769121820007,1.0038096675491324,11.595838392945288,0.6786323495423635,56.412055309069096,3.2942136180679666,1.0038096675491324,19.92816025611867,1.6186957187837152,1.0038096675491324,56.412055309069096,1.9527069921203928,1.9011594957910243,0.8654121756209334,3.12658349248906,14.658107499860119,1.2446191214382452,34.189416344942735,1.6186957187837152,81.16675355915169,0.8654121756209334,0.0,16.971477149203107,0.0,0.0,3.2942136180679666,24.54602971489676,14.658107499860119,98.98071769037037,0.8507830351277474,37.56951549645832,0.8507830351277474,1.2791769121820007,1.2791769121820007,1.2446191214382452,34.189416344942735,2.253163543923722,0.0,12.603830711307053,126.73330674338605,0.7369711216935041,0.8654121756209334,1.0038096675491324,0.0,0.0,0.8654121756209334,1.2446191214382452,14.658107499860119,387.8803302029655,81.16675355915169,56.412055309069096,15.701912815206546,13.2531563065339,8.689002324712417,1.6186957187837152,106.0965727000559,1.5307392301754306,3.3177382426347877,3.2942136180679666,1.2446191214382452,0.0,179.50578252972954,1.2446191214382452,0.8507830351277474,77.98768345643987,0.8507830351277474,0.8654121756209334,11.959056769949195,0.7369711216935041,4.234882607376016,14.658107499860119,11.595838392945288
thereisnoflour,4.041340867578911,0.0,4.118572160333327,13.845797710891885,12.115616814257075,53.58048740446187,3.9506721840369994,34.4390866788369,4.018991180256431,34.4390866788369,4.044217471813429,341.9998331778188,512.6488543302581,4.018991180256431,4.274256799146861,3.9506721840369994,34.4390866788369,13.845797710891885,12.115616814257075,16.04577600351935,4.569810906239237,4.041340867578911,4.044217471813429,44.66269435872204,32.48960459661677,9.590964823580563,4.169579732243923,4.274256799146861,4.5688105221017175,4.041340867578911,4.296558902872625,60.79323211810628,4.569810906239237,3.991715301723824,14.016380081144703,112028.20875105997,4.118572160333327,3.991715301723824,4.5688105221017175,3.991715301723824,10.71387319802737,4.169579732243923,4.018991180256431,12.115616814257075,3.983763070481461,56.40490313925938,4.569810906239237,4.018991180256431,20.224131563864844,4.118572160333327,4.018991180256431,56.40490313925938,4.405197814467891,4.296558902872625,4.044217471813429,5.0586883122175115,15.196520222959972,3.991715301723824,34.4390866788369,4.118572160333327,80.99268393837812,4.044217471813429,4.041340867578911,17.180081109393594,4.041340867578911,4.041340867578911,4.569810906239237,23.992027692751268,15.196520222959972,98.7250051809443,3.9506721840369994,38.01091521963948,3.9506721840369994,4.169579732243923,4.169579732243923,3.991715301723824,34.4390866788369,4.5688105221017175,4.041340867578911,13.285878359911734,126.98021591991049,3.972989463619852,4.044217471813429,4.018991180256431,4.041340867578911,4.041340867578911,4.044217471813429,3.991715301723824,15.196520222959972,387.94673099678806,80.99268393837812,56.40490313925938,14.278340105026295,13.845797710891885,9.590964823580563,4.118572160333327,106.02552624348296,4.232104615501775,5.034315903117668,4.569810906239237,3.991715301723824,4.041340867578911,179.42415051524657,3.991715301723824,3.9506721840369994,78.30471860414119,3.9506721840369994,4.044217471813429,12.453236925869817,3.972989463619852,5.407304621149756,15.196520222959972,12.115616814257075
trump,1.6186957187837152,4.118572160333327,0.0,13.26312989372545,11.713253962996701,53.918273456766876,1.5400943283454052,34.239428019382665,1.7253785770824799,34.239428019382665,1.6258643182523793,343.01724393134475,512.8998456647664,1.7253785770824799,2.0832810206458063,1.5400943283454052,34.239428019382665,13.26312989372545,11.713253962996701,15.926183461347307,3.582742213077433,1.6186957187837152,1.6258643182523793,44.434292316885944,32.20675672153449,8.749031216394343,1.868780966875217,2.0832810206458063,2.557735538555913,1.6186957187837152,2.3459761498025458,60.64540401699848,3.582742213077433,1.8146997743711306,13.5183819446395,112028.59052743754,0.0,1.8146997743711306,2.557735538555913,1.8146997743711306,9.889723122693244,1.868780966875217,1.7253785770824799,11.713253962996701,1.4693654403247978,56.25263249204529,3.582742213077433,1.7253785770824799,19.916460607989602,0.0,1.7253785770824799,56.25263249204529,2.3861072077000123,2.3459761498025458,1.6258643182523793,3.4464572044653807,14.738451978036114,1.8146997743711306,34.239428019382665,0.0,81.21589066832532,1.6258643182523793,1.6186957187837152,16.943793621278022,1.6186957187837152,1.6186957187837152,3.582742213077433,24.618249993911306,14.738451978036114,99.03723929872828,1.5400943283454052,37.76231656139425,1.5400943283454052,1.868780966875217,1.868780966875217,1.8146997743711306,34.239428019382665,2.557735538555913,1.6186957187837152,12.742980077656531,126.85002727451811,1.5055538168522564,1.6258643182523793,1.7253785770824799,1.6186957187837152,1.6186957187837152,1.6258643182523793,1.8146997743711306,14.738451978036114,387.9290577295239,81.21589066832532,56.25263249204529,15.752562860689883,13.26312989372545,8.749031216394343,0.0,105.99240118368134,2.0490117858608587,3.533781214567944,3.582742213077433,1.8146997743711306,1.6186957187837152,179.55486997809402,1.8146997743711306,1.5400943283454052,78.14924850278896,1.5400943283454052,1.6258643182523793,12.001508153964442,1.5055538168522564,4.451190928742303,14.738451978036114,11.713253962996701
whānauora,13.2531563065339,13.845797710891885,13.26312989372545,0.0,16.934003364988204,54.38010134634611,13.230560837495059,35.20278705276976,13.251607871275175,35.20278705276976,13.2621870210214,342.6502562742355,511.8730450796096,13.251607871275175,13.232249886281936,13.230560837495059,35.20278705276976,0.0,16.934003364988204,19.839201640429305,13.5758028530366,13.2531563065339,13.2621870210214,45.3726361213731,33.899358528343406,15.338597373909884,13.218613750502119,13.232249886281936,13.223388962381051,13.2531563065339,13.385744692850224,61.01042524837715,13.5758028530366,13.250485990534266,18.063797928791608,112025.85226853931,13.26312989372545,13.250485990534266,13.223388962381051,13.250485990534266,15.595631482636655,13.218613750502119,13.251607871275175,16.934003364988204,13.25967817611262,57.121531945398004,13.5758028530366,13.251607871275175,23.120622341844236,13.26312989372545,13.251607871275175,57.121531945398004,13.18142913067998,13.385744692850224,13.2621870210214,13.390403491436887,19.77110324679941,13.250485990534266,35.20278705276976,13.26312989372545,81.68481339191739,13.2621870210214,13.2531563065339,21.121597969885787,13.2531563065339,13.2531563065339,13.5758028530366,27.14235417798209,19.77110324679941,99.41833448573426,13.230560837495059,39.0443258341019,13.230560837495059,13.218613750502119,13.218613750502119,13.250485990534266,35.20278705276976,13.223388962381051,13.2531563065339,17.431064584815662,126.21785750462057,13.264284721844747,13.2621870210214,13.251607871275175,13.2531563065339,13.2531563065339,13.2621870210214,13.250485990534266,19.77110324679941,385.98533082658054,81.68481339191739,57.121531945398004,20.388248801723062,0.0,15.338597373909884,13.26312989372545,104.69265595120669,13.245894715401352,13.459061944868042,13.5758028530366,13.250485990534266,13.2531563065339,178.44577097351115,13.250485990534266,13.230560837495059,78.23674169947743,13.230560837495059,13.2621870210214,17.629555119337986,13.264284721844747,13.708333410043329,19.77110324679941,16.934003364988204
socialimpact,11.595838392945288,12.115616814257075,11.713253962996701,16.934003364988204,0.0,53.12731740039272,11.546618436907536,33.040367868908035,11.583770946222682,33.040367868908035,11.626630910402673,341.1028434968349,510.30018252985127,11.583770946222682,11.615796466443665,11.546618436907536,33.040367868908035,16.934003364988204,0.0,18.97487628686114,11.547782467397882,11.595838392945288,11.626630910402673,45.19085447655543,33.490998969064265,14.299819364656258,11.625789733106265,11.615796466443665,11.474892405639705,11.595838392945288,11.459387996425463,60.84844042348994,11.547782467397882,11.57352389769549,17.074288924462497,112023.89008793102,11.713253962996701,11.57352389769549,11.474892405639705,11.57352389769549,14.877687260890543,11.625789733106265,11.583770946222682,0.0,11.620074692261696,55.3537303022322,11.547782467397882,11.583770946222682,22.652668381456824,11.713253962996701,11.583770946222682,55.3537303022322,11.579297749391257,11.459387996425463,11.626630910402673,11.821984338056332,18.711039199474623,11.57352389769549,33.040367868908035,11.713253962996701,78.88606340750799,11.626630910402673,11.595838392945288,19.096661144459947,11.595838392945288,11.595838392945288,11.547782467397882,25.886263056993087,18.711039199474623,96.50789395007047,11.546618436907536,38.66249886573,11.546618436907536,11.625789733106265,11.625789733106265,11.57352389769549,33.040367868908035,11.474892405639705,11.595838392945288,16.14748535833823,126.10529460942028,11.586149495314068,11.626630910402673,11.583770946222682,11.595838392945288,11.595838392945288,11.626630910402673,11.57352389769549,18.711039199474623,387.52339384730334,78.88606340750799,55.3537303022322,17.734052972006992,16.934003364988204,14.299819364656258,11.713253962996701,105.4686026810009,11.625147182506383,11.704497034231903,11.547782467397882,11.57352389769549,11.595838392945288,177.33089193971313,11.57352389769549,11.546618436907536,78.194084918271,11.546618436907536,11.626630910402673,16.056278524959666,11.586149495314068,11.990968167567786,18.711039199474623,0.0
lockdown,53.94099932954263,53.58048740446187,53.918273456766876,54.38010134634611,53.12731740039272,0.0,53.62523730373021,59.02815708559727,53.851050015648816,59.02815708559727,53.88500749124316,328.73878960416005,489.8429148883972,53.851050015648816,53.73850305042794,53.62523730373021,59.02815708559727,54.38010134634611,53.12731740039272,53.814235425140616,53.53230685953618,53.94099932954263,53.88500749124316,63.952766853484256,58.083236967832974,53.08019883627403,53.81816359982792,53.73850305042794,53.54933903561805,53.94099932954263,53.84832191524277,73.69937528614258,53.53230685953618,53.28959927651266,54.59680100911447,112000.16643202772,53.918273456766876,53.28959927651266,53.54933903561805,53.28959927651266,53.52034507237707,53.81816359982792,53.851050015648816,53.12731740039272,53.96964247917981,64.8410351919934,53.53230685953618,53.851050015648816,53.60400864373531,53.918273456766876,53.851050015648816,64.8410351919934,53.75958128203794,53.84832191524277,53.88500749124316,53.95225327374273,54.184803782656225,53.28959927651266,59.02815708559727,53.918273456766876,86.11479254624125,53.88500749124316,53.94099932954263,55.34849777544211,53.94099932954263,53.94099932954263,53.53230685953618,53.101984473600396,54.184803782656225,99.39264752582991,53.62523730373021,60.50117775786451,53.62523730373021,53.81816359982792,53.81816359982792,53.28959927651266,59.02815708559727,53.54933903561805,53.94099932954263,52.253912413806155,126.00705477396795,53.912380291976056,53.88500749124316,53.851050015648816,53.94099932954263,53.94099932954263,53.88500749124316,53.28959927651266,54.184803782656225,388.98456687228924,86.11479254624125,64.8410351919934,52.49043378529658,54.38010134634611,53.08019883627403,53.918273456766876,109.02833780863047,53.90550361779288,53.43909655334043,53.53230685953618,53.28959927651266,53.94099932954263,171.8431830742145,53.28959927651266,53.62523730373021,86.59177065856304,53.62523730373021,53.88500749124316,52.56667800114584,53.912380291976056,51.34613290705801,54.184803782656225,53.12731740039272
stayhomestaysafe,0.8507830351277474,3.9506721840369994,1.5400943283454052,13.230560837495059,11.546618436907536,53.62523730373021,0.0,34.15647459676986,1.032680372738793,34.15647459676986,0.8417937766864768,343.31894483433587,512.698495736081,1.032680372738793,1.5803598695901262,0.0,34.15647459676986,13.230560837495059,11.546618436907536,15.932483106352825,3.2631897358488815,0.8507830351277474,0.8417937766864768,44.42635902300443,32.18775839948601,8.706752544825754,1.294500912486035,1.5803598695901262,2.2292012837651902,0.8507830351277474,1.8776420321810476,60.63738870019121,3.2631897358488815,1.105284547807448,13.428974855283299,112028.49135724238,1.5400943283454052,1.105284547807448,2.2292012837651902,1.105284547807448,9.875143567188672,1.294500912486035,1.032680372738793,11.546618436907536,0.534662651613671,56.2807325087123,3.2631897358488815,1.032680372738793,19.926935513212285,1.5400943283454052,1.032680372738793,56.2807325087123,1.902706383420434,1.8776420321810476,0.8417937766864768,3.163037714304742,14.662308386864739,1.105284547807448,34.15647459676986,1.5400943283454052,81.07633303927697,0.8417937766864768,0.8507830351277474,16.962733672582345,0.8507830351277474,0.8507830351277474,3.2631897358488815,24.465689510160917,14.662308386864739,98.8867266636352,0.0,37.74421058977925,0.0,1.294500912486035,1.294500912486035,1.105284547807448,34.15647459676986,2.2292012837651902,0.8507830351277474,12.682631790005924,126.86394375407141,0.5826827698416495,0.8417937766864768,1.032680372738793,0.8507830351277474,0.8507830351277474,0.8417937766864768,1.105284547807448,14.662308386864739,387.9009838314463,81.07633303927697,56.2807325087123,15.64749187311903,13.230560837495059,8.706752544825754,1.5400943283454052,105.99098802414284,1.5248572452854547,3.2705565193442157,3.2631897358488815,1.105284547807448,0.8507830351277474,179.4943377891571,1.105284547807448,0.0,78.13911177883473,0.0,0.8417937766864768,11.920937177195153,0.5826827698416495,4.140888113253769,14.662308386864739,11.546618436907536
foodandfibre,34.189416344942735,34.4390866788369,34.239428019382665,35.20278705276976,33.040367868908035,59.02815708559727,34.15647459676986,0.0,34.13848460475582,0.0,34.181355674047346,337.06772350796496,507.23680817935366,34.13848460475582,34.120906257972194,34.15647459676986,0.0,35.20278705276976,33.040367868908035,35.0951546088626,34.10653064242687,34.189416344942735,34.181355674047346,53.9528741898871,45.094921488888986,34.02475011290433,34.16224510351598,34.120906257972194,33.75565679139684,34.189416344942735,34.142343861516295,66.99659489058939,34.10653064242687,34.19740855387268,35.08178957984177,112014.14796851615,34.239428019382665,34.19740855387268,33.75565679139684,34.19740855387268,35.031642630263256,34.16224510351598,34.13848460475582,33.040367868908035,34.20681693160438,59.264567410992704,34.10653064242687,34.13848460475582,38.68969514326275,34.239428019382665,34.13848460475582,59.264567410992704,33.82102000643999,34.142343861516295,34.181355674047346,34.10708476761091,36.850570620396965,34.19740855387268,0.0,34.239428019382665,82.8215292214185,34.181355674047346,34.189416344942735,36.21723339693921,34.189416344942735,34.189416344942735,34.10653064242687,39.31235799330572,36.850570620396965,98.35648586168328,34.15647459676986,48.84375646088435,34.15647459676986,34.16224510351598,34.16224510351598,34.19740855387268,0.0,33.75565679139684,34.189416344942735,34.34462556479108,126.49400695550301,34.16529782432713,34.181355674047346,34.13848460475582,34.189416344942735,34.189416344942735,34.181355674047346,34.19740855387268,36.850570620396965,385.59698329977084,82.8215292214185,59.264567410992704,36.26182138152857,35.20278705276976,34.02475011290433,34.239428019382665,107.36795482596781,34.14366926715331,34.040950555165935,34.10653064242687,34.19740855387268,34.189416344942735,174.8297047304077,34.19740855387268,34.15647459676986,82.66005173986247,34.15647459676986,34.181355674047346,34.61314640113054,34.16529782432713,34.35744701046573,36.850570620396965,33.040367868908035
girls,1.0038096675491324,4.018991180256431,1.7253785770824799,13.251607871275175,11.583770946222682,53.851050015648816,1.032680372738793,34.13848460475582,0.0,34.13848460475582,1.0587499593715946,343.3755111184017,512.812426418303,0.0,1.5658377704530861,1.032680372738793,34.13848460475582,13.251607871275175,11.583770946222682,15.88362423071763,3.321709111898607,1.0038096675491324,1.0587499593715946,44.2458730176485,32.03310848079415,8.621307233326581,1.2302383396948906,1.5658377704530861,2.138743975278133,1.0038096675491324,1.9633092603002038,60.36918415041921,3.321709111898607,1.3165384296401417,13.410290659174388,112028.46702994723,1.7253785770824799,1.3165384296401417,2.138743975278133,1.3165384296401417,9.904084612785148,1.2302383396948906,0.0,11.583770946222682,0.9035210720537613,56.38603580493877,3.321709111898607,0.0,19.95442616991123,1.7253785770824799,0.0,56.38603580493877,1.9406382998563694,1.9633092603002038,1.0587499593715946,3.144017767421427,14.692841820317577,1.3165384296401417,34.13848460475582,1.7253785770824799,81.1140011881442,1.0587499593715946,1.0038096675491324,16.960434365734898,1.0038096675491324,1.0038096675491324,3.321709111898607,24.469196434138325,14.692841820317577,98.97889656948458,1.032680372738793,37.581905757859346,1.032680372738793,1.2302383396948906,1.2302383396948906,1.3165384296401417,34.13848460475582,2.138743975278133,1.0038096675491324,12.272667850329869,126.57948681601152,0.9614189219247227,1.0587499593715946,0.0,1.0038096675491324,1.0038096675491324,1.0587499593715946,1.3165384296401417,14.692841820317577,387.8522443192826,81.1140011881442,56.38603580493877,15.683980318489514,13.251607871275175,8.621307233326581,1.7253785770824799,106.0522138182112,1.6137337241489662,3.381416597781676,3.321709111898607,1.3165384296401417,1.0038096675491324,179.4413601143122,1.3165384296401417,1.032680372738793,77.95254251627252,1.032680372738793,1.0587499593715946,11.945106855969854,0.9614189219247227,4.19532492217171,14.692841820317577,11.583770946222682
peopleandplace,34.189416344942735,34.4390866788369,34.239428019382665,35.20278705276976,33.040367868908035,59.02815708559727,34.15647459676986,0.0,34.13848460475582,0.0,34.181355674047346,337.06772350796496,507.23680817935366,34.13848460475582,34.120906257972194,34.15647459676986,0.0,35.20278705276976,33.040367868908035,35.0951546088626,34.10653064242687,34.189416344942735,34.181355674047346,53.9528741898871,45.094921488888986,34.02475011290433,34.16224510351598,34.120906257972194,33.75565679139684,34.189416344942735,34.142343861516295,66.99659489058939,34.10653064242687,34.19740855387268,35.08178957984177,112014.14796851615,34.239428019382665,34.19740855387268,33.75565679139684,34.19740855387268,35.031642630263256,34.16224510351598,34.13848460475582,33.040367868908035,34.20681693160438,59.264567410992704,34.10653064242687,34.13848460475582,38.68969514326275,34.239428019382665,34.13848460475582,59.264567410992704,33.82102000643999,34.142343861516295,34.181355674047346,34.10708476761091,36.850570620396965,34.19740855387268,0.0,34.239428019382665,82.8215292214185,34.181355674047346,34.189416344942735,36.21723339693921,34.189416344942735,34.189416344942735,34.10653064242687,39.31235799330572,36.850570620396965,98.35648586168328,34.15647459676986,48.84375646088435,34.15647459676986,34.16224510351598,34.16224510351598,34.19740855387268,0.0,33.75565679139684,34.189416344942735,34.34462556479108,126.49400695550301,34.16529782432713,34.181355674047346,34.13848460475582,34.189416344942735,34.189416344942735,34.181355674047346,34.19740855387268,36.850570620396965,385.59698329977084,82.8215292214185,59.264567410992704,36.26182138152857,35.20278705276976,34.02475011290433,34.239428019382665,107.36795482596781,34.14366926715331,34.040950555165935,34.10653064242687,34.19740855387268,34.189416344942735,174.8297047304077,34.19740855387268,34.15647459676986,82.66005173986247,34.15647459676986,34.181355674047346,34.61314640113054,34.16529782432713,34.35744701046573,36.850570620396965,33.040367868908035
